regime,observations,avg_next_day_return,annualized_volatility,max_drawdown,positive_next_day_pct
Bearish,245,0.0011802979124078423,0.16363851017207018,-0.0981204718185762,0.5551020408163265
Neutral,173,0.0006461970673918438,0.13397448215999203,-0.09108022971508845,0.6069364161849711
Bullish,314,0.0006901690162508905,0.15991110337511216,-0.11491705414196185,0.5718849840255591
