feature,importance_mean,importance_std
price_sma20_ratio,0.03401118479525148,0.006571693384601758
sma20_sma50_ratio,0.026428569633361765,0.006029644830092319
atr_14_pct,0.020811089340496542,0.01040961971560369
ret_20d,0.01572422848450684,0.011954921213082455
dxy_return,0.011467068336028795,0.010902379475296108
macd_signal_gap,0.00993546833190358,0.008246090809015883
tnx_change,0.004970820563466744,0.007960655109149646
vol_5d,0.004224033117082143,0.005995719028948805
volume_change,0.0038021528617325994,0.00535373615857009
vix_change,-0.0021276850579931283,0.008237961914525773
ret_5d,-0.0036598100104085485,0.00652060026535909
vol_20d,-0.004853079648264674,0.007188276406018171
gld_return,-0.0049028664028373855,0.011359949236324458
ret_1d,-0.0062009426130326395,0.003982311993164243
rsi_14,-0.010178720458165157,0.013059941904256384
price_sma50_ratio,-0.010569181021240187,0.008134994082870836
macd,-0.01443495582832326,0.013212117256461408
